"","functionName","fileLocation","declarationStmts","executableStmts","conditionalStmts","loopStmts","returnStmts","parametersCount","callExprs","newExprs","assignmentExprs","memberExprs","cluster"
"1","[127] liberaBotao","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\menu.js?174:0-184:1",0,4,1,0,0,1,3,0,1,5,1
"2","[326] fecharJanelaModalGenerica","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\VisualizarVersoesAnteriores\VisualizarVersoesAnteriores.xhtml?16:8-33:8?4:2-15:3",1,2,2,0,0,0,3,0,0,5,1
"3","[330] trataKeyUpTextoDadosPautaExplicativa","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\VisualizarPautaExplicativa.xhtml?21:8-88:1?4:8-12:9",0,3,1,0,0,1,4,0,1,6,1
"4","[339] trataFocoInicial","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Sessao\EditarSessao.xhtml?18:16-148:16?4:3-12:4",1,2,1,0,0,0,4,0,0,5,1
"5","[340] fecharDiv","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Sessao\defineQuorumSessao.xhtml?15:4-29:4?3:1-13:2",1,2,2,0,0,0,3,0,0,5,1
"6","[344] focusHoraLimiteDisponibilizacaoSeDataCompleta","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Sessao\CriarSessao.xhtml?16:8-181:8?73:4-78:2",0,2,1,0,0,1,3,0,0,6,1
"7","[345] focusHoraFechamentoPautaSeDataCompleta","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Sessao\CriarSessao.xhtml?16:8-181:8?66:4-71:2",0,2,1,0,0,1,3,0,0,6,1
"8","[350] defineFocusInicial","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Sessao\CriarSessao.xhtml?16:8-181:8?18:4-24:5",0,2,1,0,0,1,4,0,0,4,1
"9","[372] defineFocusInicial","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Pauta\IncluirEmPautaFiltro.xhtml?37:16-118:1?22:8-28:9",0,2,1,0,0,1,4,0,0,4,1
"10","[396] 15:5-44:5?12:15-18:9 (expr)","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\InstrucaoGabinete\IniciarInstrucao\IniciarInstrucaoGenerico.xhtml?15:5-44:5?12:15-18:9",1,2,1,0,0,0,4,0,0,3,1
